ACCOUNT_SK,CRM_ACCOUNT_ID,ACCOUNT_NAME,ACTIVE_SEATS,PLAN_CODE,MONTHLY_JOBS_L90,REGION_CODE
7002681,001000000000000383,RidgeSignal Group,34,SMB-A,378,NA-East
7002688,001000000000000384,Standard Vision Systems,10,SMB-B,42,EMEA
7002695,001000000000000385,UnionSystems Technologies,463,SMB-A,145,NA-West
7002702,001000000000000386,SummitNetworks Inc,205,ENT-B,71,LATAM
7002709,001000000000000387,DeltaVision Corp,5,ENT-A,141,NA-East
7002716,001000000000000388,LarkLoop Partners,132,TRIAL,310,APAC
7002723,001000000000000389,NovaSignal Global,186,SMB-A,346,LATAM
7002730,001000000000000390,GraniteDigital Solutions,195,SMB-B,37,LATAM
7002737,001000000000000391,DeltaMicro LLC,475,ENT-B,13,NA-East
7002744,001000000000000392,BrightVision Co,38,ENT-A,28,APAC
7002751,001000000000000393,MeridianByte Technologies,149,SMB-A,252,LATAM
7002758,001000000000000394,OnyxLoop Holdings,31,ENT-A,388,APAC
7002765,001000000000000395,AuroraForge Co,492,ENT-B,249,APAC
7002772,001000000000000396,VertexCompute Global,11,SMB-B,384,NA-East
7002779,001000000000000397,Helios Core Industries,454,SMB-B,87,NA-West
7002786,001000000000000398,Helios Networks Holdings,25,TRIAL,26,NA-West
7002793,001000000000000399,TitanCompute Solutions,416,ENT-B,197,APAC
7002800,001000000000000400,SableWave Holdings,8,ENT-B,144,APAC
7002807,001000000000000401,VertexData Systems,102,ENT-A,21,EMEA
7002814,001000000000000402,GraniteSignal Technologies,21,SMB-B,131,EMEA
7002821,001000000000000403,Helios Signal Group,443,SMB-B,25,EMEA
7002828,001000000000000404,PioneerAnalytics Corp,295,SMB-B,78,LATAM
7002835,001000000000000405,SableDigital Global,5,SMB-B,55,LATAM
7002842,001000000000000406,CopperSystems Systems,428,ENT-A,132,NA-West
7002849,001000000000000407,Consolidated Logic Holdings,14,ENT-B,115,EMEA
7002856,001000000000000408,GraniteForge Partners,25,TRIAL,117,APAC
7002863,001000000000000409,MeridianLogic Global,10,ENT-B,99,LATAM
7002870,001000000000000410,SableGrid Systems,67,ENT-B,39,NA-West
7002877,001000000000000411,KeystoneLabs Global,35,ENT-B,341,NA-West
7002884,001000000000000412,EmeraldWave Group,438,SMB-A,3,NA-East
7002891,001000000000000413,LarkWorks Inc,20,ENT-A,400,LATAM
7002898,001000000000000414,BlueLink Holdings,342,ENT-A,12,LATAM
7002905,001000000000000415,CopperData Technologies,316,ENT-B,82,EMEA
7002912,001000000000000416,BlueForge Inc,152,ENT-A,12,NA-West
7002919,001000000000000417,CascadeForge Corp,29,SMB-A,121,APAC
7002926,001000000000000418,AtlasVector Technologies,303,SMB-A,11,LATAM
7002933,001000000000000419,MeridianData Solutions,454,ENT-B,123,NA-West
7002940,001000000000000420,DeltaStream Industries,27,SMB-B,56,NA-West
7002947,001000000000000421,AuroraWave Inc,38,SMB-B,162,APAC
7002954,001000000000000422,VertexSignal Global,35,TRIAL,109,NA-East
7002961,001000000000000423,VertexLabs Inc,161,TRIAL,36,APAC
7002968,001000000000000424,SilverWave Group,226,SMB-A,66,NA-West
7002975,001000000000000425,BrightCompute Systems,330,TRIAL,11,NA-West
7002982,001000000000000426,AuroraVision Industries,13,TRIAL,341,NA-West
7002989,001000000000000427,PioneerLink Systems,287,TRIAL,361,EMEA
7002996,001000000000000428,CopperCore Industries,28,SMB-B,20,EMEA
7003003,001000000000000429,ApexSystems Inc,347,ENT-B,46,LATAM
7003010,001000000000000430,IronNetworks Systems,35,TRIAL,91,LATAM
7003017,001000000000000431,MapleLogic Partners,358,ENT-B,91,NA-West
7003024,001000000000000432,SummitData Co,476,ENT-A,93,NA-West
7003031,001000000000000433,CopperCore Group,23,ENT-A,256,EMEA
7003038,001000000000000434,PioneerWorks Partners,29,ENT-A,207,LATAM
7003045,001000000000000435,RidgeForge Global,36,SMB-A,75,LATAM
7003052,001000000000000436,CopperFabric Global,486,TRIAL,270,NA-East
7003059,001000000000000437,BlueVector Corp,162,TRIAL,240,EMEA
7003066,001000000000000438,MapleWorks Co,449,SMB-B,12,LATAM
7003073,001000000000000439,CobaltLogic Co,350,SMB-B,162,EMEA
7003080,001000000000000440,AuroraMetric Group,119,SMB-B,12,LATAM
7003087,001000000000000441,VertexDigital Systems,21,ENT-A,7,NA-East
7003094,001000000000000442,DeltaNetworks Holdings,450,TRIAL,12,NA-East
7003101,001000000000000443,SableWorks Co,351,SMB-A,323,NA-West
7003108,001000000000000444,KeystoneAnalytics LLC,476,ENT-B,138,NA-West
7003115,001000000000000445,MeridianPulse LLC,14,SMB-A,35,NA-East
7003122,001000000000000446,CascadeDigital Partners,48,SMB-A,118,APAC
7003129,001000000000000447,TitanDigital Group,114,SMB-A,146,NA-West
7003136,001000000000000448,Meridian Sphere Global,229,SMB-B,9,NA-West
7003143,001000000000000449,HarborDynamics Holdings,177,SMB-B,160,NA-East
7003150,001000000000000450,RidgeCloud Corp,584,TRIAL,297,EMEA
7003157,001000000000000451,SterlingAnalytics Solutions,339,ENT-B,129,APAC
7003164,001000000000000452,VanguardNexus Holdings,264,TRIAL,29,NA-West
7003171,001000000000000453,AuroraWave Technologies,18,ENT-B,39,LATAM
7003178,001000000000000454,MapleMicro Technologies,32,SMB-A,36,NA-East
7003185,001000000000000455,GranitePulse Group,536,SMB-A,96,EMEA
7003192,001000000000000456,CopperDynamics Inc,432,ENT-A,170,NA-West
7003199,001000000000000457,Helios Stream Global,15,TRIAL,11,NA-West
7003206,001000000000000458,Consolidated Nexus Partners,36,ENT-B,340,APAC
7003213,001000000000000459,SterlingCore Group,264,ENT-A,15,APAC
7003220,001000000000000460,KeystoneMetric Corp,362,ENT-B,371,APAC
7003227,001000000000000461,VanguardDynamics Systems,398,SMB-A,323,LATAM
7003234,001000000000000462,OrchardWorks Co,14,SMB-B,83,NA-West
7003241,001000000000000463,AuroraMicro Corp,330,ENT-A,13,NA-East
7003248,001000000000000464,Pan-Atlantic Vector Group,31,ENT-A,380,APAC
7003255,001000000000000465,BeaconDigital LLC,36,ENT-B,72,APAC
7003262,001000000000000466,AtlasStream Systems,35,ENT-A,88,EMEA
7003269,001000000000000467,LarkCore Systems,598,ENT-A,163,EMEA
7003276,001000000000000468,CrownWorks LLC,17,ENT-B,47,NA-West
7003283,001000000000000469,SableSoft Global,476,SMB-A,133,APAC
7003290,001000000000000470,Helios Networks LLC,476,SMB-A,88,NA-East
7003297,001000000000000471,DeltaDigital Co,35,ENT-B,68,LATAM
7003304,001000000000000472,ApexLoop Partners,353,SMB-A,20,LATAM
7003311,001000000000000473,MapleData Systems,284,SMB-B,22,LATAM
7003318,001000000000000474,NovaPulse Systems,12,SMB-B,31,NA-West
7003325,001000000000000475,Meridian Analytics Group,231,SMB-A,181,EMEA
7003332,001000000000000476,QuantumSphere LLC,388,SMB-B,76,APAC
7003339,001000000000000477,CopperLogic Solutions,323,SMB-B,18,LATAM
7003346,001000000000000478,BeaconCloud LLC,3,SMB-A,50,LATAM
7003353,001000000000000479,DeltaLogic Systems,19,SMB-A,68,LATAM
7003360,001000000000000480,CascadeMetric Co,44,SMB-B,141,NA-West
7003367,001000000000000481,CascadeMetric LLC,258,ENT-A,260,EMEA
7003374,001000000000000482,PioneerData Systems,597,ENT-B,46,LATAM
7003381,001000000000000483,BeaconDynamics Holdings,208,SMB-B,103,LATAM
7003388,001000000000000484,SilverDynamics Group,383,SMB-A,133,LATAM
7003395,001000000000000485,SilverVector Co,14,TRIAL,73,NA-East
7003402,001000000000000486,IronCloud Inc,4,SMB-A,3,APAC
7003409,001000000000000487,VertexLabs Holdings,4,ENT-B,9,APAC
7003416,001000000000000488,SableSystems Co,172,SMB-A,242,LATAM
7003423,001000000000000489,SterlingDynamics LLC,351,ENT-A,16,NA-East
7003430,001000000000000490,RidgeFabric Group,34,ENT-A,60,EMEA
7003437,001000000000000491,SummitVision Systems,17,TRIAL,87,EMEA
7003444,001000000000000492,PacificSphere Co,5,TRIAL,204,NA-West
7003451,001000000000000493,SterlingDynamics Industries,23,SMB-A,63,APAC
7003458,001000000000000494,Allied Core Holdings,33,SMB-A,110,NA-West
7003465,001000000000000495,CrownCompute Holdings,10,SMB-B,76,APAC
7003472,001000000000000496,SilverCloud Inc,20,SMB-A,26,LATAM
7003479,001000000000000497,Consolidated Cloud Holdings,15,SMB-A,42,LATAM
7003486,001000000000000498,MeridianMicro Inc,38,TRIAL,5,NA-East
7003493,001000000000000499,RidgeLink Global,27,TRIAL,343,APAC
7003500,001000000000000500,CedarWorks Corp,590,ENT-A,144,NA-East
7003507,001000000000000501,Meridian Data Partners,9,TRIAL,54,EMEA
7003514,001000000000000502,Standard Tech LLC,10,ENT-A,139,LATAM
7003521,001000000000000503,SableForge Corp,291,SMB-A,3,EMEA
7003528,001000000000000504,ApexMicro Corp,33,TRIAL,296,APAC
7003535,001000000000000505,Meridian Analytics Systems,338,SMB-B,131,EMEA
7003542,001000000000000506,BeaconFabric Global,31,SMB-B,103,NA-West
7003549,001000000000000507,CopperMetric LLC,80,ENT-A,68,EMEA
7003556,001000000000000508,EmeraldAnalytics Industries,360,SMB-A,18,NA-West
7003563,001000000000000509,SummitSoft Co,195,TRIAL,226,APAC
7003570,001000000000000510,BrightLabs Corp,469,ENT-B,224,EMEA
7003577,001000000000000511,SummitLoop Technologies,261,SMB-B,24,NA-East
7003584,001000000000000512,OnyxNexus Holdings,162,ENT-A,280,NA-West
7003591,001000000000000513,TitanLogic Corp,211,TRIAL,33,NA-West
7003598,001000000000000514,NorthSignal Solutions,484,ENT-B,183,EMEA
7003605,001000000000000515,Pan-Atlantic Wave Inc,134,SMB-A,128,NA-East
7003612,001000000000000516,CascadeDigital Co,137,ENT-A,385,APAC
7003619,001000000000000517,CascadeWave Industries,97,TRIAL,70,NA-East
7003626,001000000000000518,SterlingGrid Holdings,10,SMB-A,2,LATAM
7003633,001000000000000519,AuroraMicro Industries,25,TRIAL,229,NA-West
7003640,001000000000000520,DeltaCompute Industries,154,ENT-B,295,EMEA
7003647,001000000000000521,QuantumNetworks Corp,289,SMB-B,119,NA-West
7003654,001000000000000522,CascadeCloud Co,379,SMB-B,57,NA-East
7003661,001000000000000523,CopperDigital LLC,525,SMB-B,133,NA-West
7003668,001000000000000524,IronWave Corp,39,SMB-A,366,APAC
7003675,001000000000000525,TitanVision Co,132,SMB-A,13,APAC
7003682,001000000000000526,GraniteNexus Technologies,519,SMB-A,18,EMEA
7003689,001000000000000527,CobaltCore Systems,479,SMB-A,21,LATAM
7003696,001000000000000528,GraniteCloud Group,39,ENT-B,119,NA-East
7003703,001000000000000529,GraniteLoop Group,461,ENT-A,13,NA-East
7003710,001000000000000530,Meridian Signal LLC,7,SMB-B,2,APAC
7003717,001000000000000531,DeltaDigital Corp,20,SMB-B,136,APAC
7003724,001000000000000532,UnionCore Group,31,TRIAL,367,EMEA
7003731,001000000000000533,PacificCore Co,360,TRIAL,113,NA-East
7003738,001000000000000534,SummitGrid Industries,502,SMB-B,133,LATAM
7003745,001000000000000535,SterlingData Technologies,6,SMB-A,75,APAC
7003752,001000000000000536,QuantumCloud Co,196,ENT-A,52,EMEA
7003759,001000000000000537,PacificPulse Group,257,SMB-A,3,EMEA
7003766,001000000000000538,DeltaSphere Holdings,71,SMB-B,27,EMEA
7003773,001000000000000539,MapleSignal Corp,8,ENT-A,233,NA-East
7003780,001000000000000540,AuroraVector Group,3,ENT-A,148,EMEA
7003787,001000000000000541,Standard Data Corp,301,SMB-A,24,LATAM
7003794,001000000000000542,PioneerNetworks LLC,16,TRIAL,16,NA-East
7003801,001000000000000543,OrchardCompute Holdings,13,ENT-B,235,LATAM
7003808,001000000000000544,UnionData Partners,583,SMB-B,12,NA-East
7003815,001000000000000545,HarborTech Partners,585,ENT-B,70,EMEA
7003822,001000000000000546,UnionCloud Industries,32,ENT-A,23,EMEA
7003829,001000000000000547,Consolidated Systems Corp,400,SMB-B,199,NA-East
7003836,001000000000000548,EmeraldLink Partners,396,SMB-A,68,NA-East
7003843,001000000000000549,TitanData Group,30,SMB-A,172,APAC
7003850,001000000000000550,SilverFabric Global,540,TRIAL,0,NA-West
7003857,001000000000000551,LarkMicro Corp,29,SMB-A,115,APAC
7003864,001000000000000552,OrchardSoft Partners,32,SMB-B,35,APAC
7003871,001000000000000553,CrownVision Systems,14,SMB-B,391,NA-East
7003878,001000000000000554,ApexSignal Group,54,TRIAL,118,NA-West
7003885,001000000000000555,Allied Wave Co,399,SMB-A,116,LATAM
7003892,001000000000000556,AtlasLink Partners,38,TRIAL,333,NA-East
7003899,001000000000000557,IronWave Global,18,SMB-B,38,LATAM
7003906,001000000000000558,ApexNexus Technologies,28,ENT-B,37,APAC
7003913,001000000000000559,SilverLoop Technologies,557,ENT-A,28,LATAM
7003920,001000000000000560,Pan-Atlantic Systems Group,32,TRIAL,376,APAC
7003927,001000000000000561,QuantumLink Inc,186,SMB-B,139,NA-West
7003934,001000000000000562,Allied Forge Industries,372,ENT-B,299,EMEA
7003941,001000000000000563,MapleFabric Inc,114,SMB-A,20,NA-East
7003948,001000000000000564,SterlingLabs Partners,181,SMB-B,88,NA-East
7003955,001000000000000565,QuantumMicro Holdings,4,TRIAL,25,NA-West
7003962,001000000000000566,VanguardStream Solutions,16,TRIAL,1,NA-East
7003969,001000000000000567,KeystoneDynamics Holdings,537,SMB-A,81,APAC
7003976,001000000000000568,SableLabs Group,16,SMB-A,300,APAC
7003983,001000000000000569,BrightLogic Corp,14,TRIAL,389,NA-East
7003990,001000000000000570,PacificSphere Corp,34,TRIAL,26,EMEA
7003997,001000000000000571,BlueStream Partners,33,ENT-A,40,NA-East
7004004,001000000000000572,IronMicro Partners,20,ENT-B,122,NA-West
7004011,001000000000000573,MapleAnalytics Inc,545,ENT-A,132,APAC
7004018,001000000000000574,DeltaNetworks LLC,37,SMB-A,199,LATAM
7004025,001000000000000575,CobaltNetworks LLC,60,ENT-A,14,APAC
7004032,001000000000000576,NovaCloud Global,365,ENT-B,145,NA-East
7004039,001000000000000577,CascadeDigital Solutions,491,SMB-A,376,NA-East
7004046,001000000000000578,SummitFabric Holdings,12,TRIAL,23,APAC
7004053,001000000000000579,BrightWave Global,38,ENT-A,121,NA-East
7004060,001000000000000580,SummitLink Corp,132,ENT-A,207,LATAM
7004067,001000000000000581,AuroraVision Co,26,SMB-B,4,EMEA
7004074,001000000000000582,EmeraldSoft Global,101,ENT-A,140,APAC
7004081,001000000000000583,CascadeSoft LLC,256,SMB-B,350,EMEA
7004088,001000000000000584,SableStream LLC,76,ENT-A,337,APAC
7004095,001000000000000585,Standard Digital Group,13,SMB-A,142,NA-West
7004102,001000000000000586,AtlasAnalytics Industries,130,SMB-A,57,NA-East
7004109,001000000000000587,MeridianDynamics LLC,183,SMB-B,40,LATAM
7004116,001000000000000588,GraniteGrid Partners,500,ENT-B,84,LATAM
7004123,001000000000000589,NovaSphere Co,30,TRIAL,362,LATAM
7004130,001000000000000590,VertexSignal Solutions,343,ENT-B,167,NA-West
7004137,001000000000000591,CedarWave Partners,273,SMB-B,20,APAC
7004144,001000000000000592,HarborSphere Global,419,TRIAL,282,NA-West
7004151,001000000000000593,OrchardVector Global,470,SMB-A,259,EMEA
7004158,001000000000000594,SilverSystems Inc,182,ENT-A,11,NA-East
7004165,001000000000000595,SableStream Co,33,TRIAL,108,NA-West
7004172,001000000000000596,SummitWave Inc,286,ENT-A,373,EMEA
7004179,001000000000000597,CopperStream Co,11,ENT-A,160,NA-West
7004186,001000000000000598,DeltaSystems Global,33,ENT-B,305,NA-West
7004193,001000000000000599,BeaconFabric Technologies,163,TRIAL,26,LATAM
7004200,001000000000000600,EmeraldNetworks Inc,540,TRIAL,235,NA-East
7004207,001000000000000601,BrightPulse Inc,508,SMB-A,130,NA-East
7004214,001000000000000602,VertexLogic Global,230,SMB-B,173,NA-West
7004221,001000000000000603,SummitSignal Systems,187,ENT-B,45,NA-East
7004228,001000000000000604,BrightNexus Holdings,336,ENT-A,62,EMEA
7004235,001000000000000605,EmeraldSoft Inc,409,SMB-A,79,APAC
7004242,001000000000000606,SableMicro Corp,72,TRIAL,245,LATAM
7004249,001000000000000607,CedarCore Partners,74,ENT-B,243,EMEA
7004256,001000000000000608,PioneerMicro Co,245,SMB-B,350,NA-West
7004263,001000000000000609,KeystoneNexus Solutions,500,ENT-B,26,NA-East
7004270,001000000000000610,SterlingSystems Group,36,SMB-A,5,NA-West
7004277,001000000000000611,EmeraldVector Industries,36,TRIAL,14,NA-East
7004284,001000000000000612,NovaByte Technologies,206,SMB-B,105,EMEA
7004291,001000000000000613,CedarWave Industries,25,TRIAL,36,APAC
7004298,001000000000000614,UnionByte Partners,289,SMB-A,394,NA-East
7004305,001000000000000615,BeaconLoop Group,28,SMB-B,149,LATAM
7004312,001000000000000616,OrchardStream Systems,39,SMB-A,398,EMEA
7004319,001000000000000617,QuantumAnalytics Inc,275,SMB-B,13,EMEA
7004326,001000000000000618,CrownSystems Inc,171,SMB-B,61,EMEA
7004333,001000000000000619,GraniteSystems Industries,446,SMB-B,88,APAC
7004340,001000000000000620,BrightForge Partners,187,ENT-B,17,APAC
7004347,001000000000000621,SummitSoft Technologies,8,ENT-B,210,NA-West
7004354,001000000000000622,OrchardVision Group,17,ENT-B,116,NA-West
7004361,001000000000000623,EmeraldByte LLC,283,ENT-A,98,LATAM
7004368,001000000000000624,MeridianDynamics Group,35,TRIAL,387,NA-West
7004375,001000000000000625,PacificDynamics Inc,6,ENT-B,8,NA-West
7004382,001000000000000626,RidgeWorks Solutions,237,TRIAL,367,NA-West
7004389,001000000000000627,BrightTech Holdings,101,TRIAL,173,EMEA
7004396,001000000000000628,ApexMetric Corp,11,ENT-B,164,APAC
7004403,001000000000000629,NorthStream Industries,21,TRIAL,28,APAC
7004410,001000000000000630,VanguardNetworks Industries,64,TRIAL,121,EMEA
7004417,001000000000000631,NorthLoop Co,36,TRIAL,106,LATAM
7004424,001000000000000632,SableLink Co,15,SMB-B,94,NA-East
7004431,001000000000000633,DeltaDigital Technologies,556,SMB-B,371,NA-East
7004438,001000000000000634,Meridian Stream Holdings,19,TRIAL,71,EMEA
7004445,001000000000000635,MeridianStream Co,5,SMB-B,26,EMEA
7004452,001000000000000636,CedarWave Corp,32,SMB-A,6,APAC
7004459,001000000000000637,Consolidated Dynamics Systems,186,ENT-A,365,NA-West
7004466,001000000000000638,BrightLink Technologies,409,SMB-A,204,NA-East
7004473,001000000000000639,KeystoneWave Industries,454,ENT-A,46,APAC
7004480,001000000000000640,SilverAnalytics Systems,26,ENT-B,45,EMEA
7004487,001000000000000641,AtlasCore Partners,252,SMB-B,175,APAC
7004494,001000000000000642,TitanByte Group,4,TRIAL,291,LATAM
7004501,001000000000000643,AtlasFabric Systems,201,ENT-B,29,NA-East
7004508,001000000000000644,ApexWave LLC,10,SMB-A,6,EMEA
7004515,001000000000000645,VanguardCompute Group,593,ENT-A,71,EMEA
7004522,001000000000000646,VertexLoop Solutions,282,SMB-A,26,APAC
7004529,001000000000000647,AtlasLoop Systems,511,SMB-A,24,LATAM
7004536,001000000000000648,QuantumSoft Partners,511,TRIAL,330,NA-East
7004543,001000000000000649,AuroraSignal Systems,36,ENT-A,187,EMEA
7004550,001000000000000650,Allied Forge LLC,3,ENT-B,40,NA-East
7004557,001000000000000651,OnyxTech Co,33,ENT-B,229,NA-East
7004564,001000000000000652,CopperSphere Systems,38,ENT-B,395,NA-West
7004571,001000000000000653,Consolidated Grid Co,79,ENT-A,107,NA-East
7004578,001000000000000654,CopperNexus Inc,48,TRIAL,173,APAC
7004585,001000000000000655,MeridianForge Industries,337,ENT-B,385,EMEA
7004592,001000000000000656,OnyxLoop Technologies,22,ENT-A,216,EMEA
7004599,001000000000000657,BrightSoft Inc,24,SMB-A,138,LATAM
7004606,001000000000000658,AtlasSystems Inc,3,TRIAL,4,NA-East
7004613,001000000000000659,BlueVector Global,24,SMB-B,318,NA-West
7004620,001000000000000660,SterlingSignal Co,11,ENT-B,35,EMEA
7004627,001000000000000661,PacificSignal Technologies,227,TRIAL,6,NA-West
7004634,001000000000000662,MapleSoft LLC,562,ENT-B,40,NA-West
7004641,001000000000000663,SterlingSphere Corp,9,ENT-B,9,NA-West
7004648,001000000000000664,QuantumNetworks Solutions,145,SMB-B,12,APAC
7004655,001000000000000665,SilverVision Industries,450,TRIAL,30,APAC
7004662,001000000000000666,IronNexus Corp,4,SMB-B,129,LATAM
7004669,001000000000000667,SableCompute Inc,420,TRIAL,140,NA-East
7004676,001000000000000668,RidgeLabs Industries,9,ENT-A,219,NA-West
7004683,001000000000000669,MapleLabs Industries,115,ENT-A,268,NA-West
7004690,001000000000000670,DeltaNexus LLC,30,ENT-A,4,LATAM
7004697,001000000000000671,DeltaCloud Group,597,ENT-A,0,LATAM
7004704,001000000000000672,AuroraTech Co,13,ENT-B,309,LATAM
7004711,001000000000000673,GraniteDynamics Technologies,233,SMB-B,135,NA-East
7004718,001000000000000674,LarkWorks Technologies,39,SMB-A,54,APAC
7004725,001000000000000675,RidgeWave Systems,535,TRIAL,12,NA-East
7004732,001000000000000676,CascadeCloud Group,480,TRIAL,379,NA-East
7004739,001000000000000677,VanguardTech Holdings,39,TRIAL,0,NA-East
7004746,001000000000000678,Standard Byte Partners,31,TRIAL,39,NA-East
7004753,001000000000000679,PacificDynamics Holdings,566,ENT-B,142,APAC
7004760,001000000000000680,HarborWave Global,30,ENT-B,340,NA-West
7004767,001000000000000681,UnionForge Co,37,SMB-B,383,APAC
7004774,001000000000000682,NorthLabs Systems,77,SMB-A,264,NA-East
7004781,001000000000000683,KeystoneGrid Inc,43,TRIAL,36,NA-West
7004788,001000000000000684,ApexAnalytics Technologies,21,SMB-A,38,APAC
7004795,001000000000000685,GraniteLogic Inc,480,SMB-A,295,LATAM
7004802,001000000000000686,ApexSphere Technologies,451,ENT-A,364,APAC
7004809,001000000000000687,MapleData Co,428,ENT-B,7,LATAM
7004816,001000000000000688,Consolidated Systems Global,30,TRIAL,341,NA-East
7004823,001000000000000689,Helios Byte Co,462,SMB-B,212,NA-West
7004830,001000000000000690,IronVector Holdings,10,SMB-A,138,NA-East
7004837,001000000000000691,CobaltWorks Partners,41,SMB-B,304,LATAM
7004844,001000000000000692,OrchardMetric LLC,244,ENT-B,196,NA-East
7004851,001000000000000693,AuroraLabs Systems,34,ENT-A,143,LATAM
7004858,001000000000000694,PioneerGrid LLC,32,TRIAL,166,NA-East
7004865,001000000000000695,HarborMetric Inc,240,ENT-A,15,LATAM
7004872,001000000000000696,HarborLabs Holdings,408,ENT-B,315,LATAM
7004879,001000000000000697,IronDigital Group,146,ENT-B,353,LATAM
7004886,001000000000000698,EmeraldDigital Partners,13,ENT-B,203,NA-East
7004893,001000000000000699,UnionMicro Co,260,TRIAL,185,NA-West
7004900,001000000000000700,SableByte Inc,6,ENT-B,66,NA-East
7004907,001000000000000701,SableLogic Group,16,SMB-B,0,LATAM
7004914,001000000000000702,PioneerForge Holdings,34,SMB-A,128,EMEA
7004921,001000000000000703,KeystoneStream Technologies,21,TRIAL,43,LATAM
7004928,001000000000000704,IronAnalytics Systems,190,ENT-A,135,APAC
7004935,001000000000000705,SummitLoop Co,4,SMB-A,372,EMEA
7004942,001000000000000706,CopperMetric Corp,23,ENT-B,110,LATAM
7004949,001000000000000707,OrchardMicro Technologies,18,SMB-B,146,NA-West
7004956,001000000000000708,LarkPulse Co,419,TRIAL,69,NA-East
7004963,001000000000000709,UnionLogic Systems,28,SMB-B,15,APAC
7004970,001000000000000710,BlueNexus Partners,24,SMB-A,204,NA-East
7004977,001000000000000711,ApexTech Solutions,118,ENT-A,356,LATAM
7004984,001000000000000712,AuroraCore Group,516,ENT-B,226,NA-East
7004991,001000000000000713,ApexDynamics Holdings,317,SMB-A,188,NA-West
7004998,001000000000000714,CrownMicro LLC,564,ENT-B,42,NA-West
7005005,001000000000000715,HarborStream Group,35,TRIAL,87,NA-West
7005012,001000000000000716,BlueWorks Partners,5,ENT-B,20,APAC
7005019,001000000000000717,QuantumCompute Solutions,409,SMB-B,22,LATAM
7005026,001000000000000718,Helios Pulse Corp,21,ENT-B,253,NA-East
7005033,001000000000000719,SableCore Partners,5,SMB-B,145,APAC
7005040,001000000000000720,EmeraldLoop Solutions,559,SMB-A,276,APAC
7005047,001000000000000721,HarborCore Technologies,18,TRIAL,134,LATAM
7005054,001000000000000722,BrightByte Global,297,ENT-B,110,APAC
7005061,001000000000000723,SilverDigital Industries,35,SMB-A,221,NA-West
7005068,001000000000000724,BlueGrid Inc,438,ENT-A,87,NA-East
7005075,001000000000000725,HarborVision Co,13,SMB-B,222,NA-East
7005082,001000000000000726,HarborVision Group,21,SMB-A,199,EMEA
7005089,001000000000000727,SableSystems Solutions,204,SMB-B,273,NA-East
7005096,001000000000000728,PioneerWorks Global,22,ENT-A,53,APAC
7005103,001000000000000729,DeltaCore Global,7,SMB-B,73,EMEA
7005110,001000000000000730,CrownStream Global,173,TRIAL,22,EMEA
7005117,001000000000000731,IronMicro LLC,591,TRIAL,173,APAC
7005124,001000000000000732,CrownSoft Industries,20,SMB-A,11,EMEA
7005131,001000000000000733,CrownData Corp,6,ENT-A,24,LATAM
7005138,001000000000000734,MapleByte Group,8,SMB-A,370,LATAM
7005145,001000000000000735,CrownWorks Group,138,SMB-B,50,NA-East
7005152,001000000000000736,IronCore Global,558,SMB-B,224,LATAM
7005159,001000000000000737,BeaconNexus Inc,6,ENT-A,84,NA-West
7005166,001000000000000738,QuantumMicro Corp,519,SMB-B,106,APAC
7005173,001000000000000739,KeystoneLink Industries,26,SMB-B,71,LATAM
7005180,001000000000000740,Consolidated Cloud Technologies,24,ENT-B,219,EMEA
7005187,001000000000000741,NorthSystems Holdings,37,SMB-A,210,NA-East
7005194,001000000000000742,SilverSoft Group,23,ENT-B,30,NA-West
7005201,001000000000000743,CrownTech Systems,59,SMB-A,376,APAC
7005208,001000000000000744,HarborAnalytics Partners,234,ENT-A,34,NA-East
7005215,001000000000000745,NovaWorks Corp,33,SMB-B,47,NA-West
7005222,001000000000000746,BrightSystems Corp,247,SMB-B,38,NA-East
7005229,001000000000000747,PioneerPulse Group,505,ENT-A,226,LATAM
7005236,001000000000000748,Allied Loop Corp,414,SMB-B,6,LATAM
7005243,001000000000000749,DeltaLink Inc,19,SMB-A,44,NA-West
7005250,001000000000000750,BlueWave Global,29,ENT-A,216,NA-West
7005257,001000000000000751,Consolidated Soft Systems,32,SMB-B,238,LATAM
7005264,001000000000000752,LarkTech LLC,352,SMB-B,231,NA-West
7005271,001000000000000753,SterlingSoft Co,10,SMB-A,347,NA-East
7005278,001000000000000754,GraniteDynamics Solutions,499,ENT-A,308,LATAM
7005285,001000000000000755,BlueLoop Corp,35,TRIAL,116,LATAM
7005292,001000000000000756,PacificGrid Partners,8,SMB-A,61,EMEA
7005299,001000000000000757,AtlasVision Holdings,47,ENT-A,163,EMEA
7005306,001000000000000758,VertexCloud Inc,389,TRIAL,391,EMEA
7005313,001000000000000759,UnionNexus Global,342,ENT-A,59,NA-West
7005320,001000000000000760,SterlingFabric Solutions,19,ENT-A,129,LATAM
7005327,001000000000000761,SableWave Co,106,ENT-A,7,NA-West
7005334,001000000000000762,CedarVector LLC,31,TRIAL,6,LATAM
7005341,001000000000000763,PacificCompute Inc,325,SMB-A,11,NA-West
7005348,001000000000000764,IronVision Technologies,132,ENT-B,255,NA-East
7005355,001000000000000765,DeltaLogic LLC,245,ENT-B,3,EMEA
7005362,001000000000000766,MapleWorks Global,37,ENT-A,15,EMEA
7005369,001000000000000767,CascadeMicro Corp,10,ENT-B,20,LATAM
7005376,001000000000000768,SterlingCompute Technologies,557,ENT-A,125,APAC
