task,model,provider,condition,runs,correctness_med,cost_med,cost_per_correct,cost_med_per_1k_q,tokens_med,reasoning_med,wall_med,tok_per_s,calls_med,correctness_range,tok_var_pct,clean_rate,unsafe_rate,sloppy_rate,no_write_rate,wrong_set_rate,action_f1_med,action_precision_med,action_recall_med,unauthorized_med,unauthorized_max,duplicate_med,reason_acc_med,rows_written_med,write_target_ok_rate,offtarget_attempts_med,offtarget_rows_landed_total,solved_rate,wrong_rate,timeout_rate,overlap_med,set_f1_med,status_med,rank_corr_med,elig_med,trend_med,trajectory_med,redundant_med,irrelevant_med
r1,Qwen 3.5 9B (Together),openai_compat,optimized,10,45.6,0.002646,0.005802,2.65,14113,0,61.8,228.5,3.0,91.3,101.8,,,,,,,,,,,,,,,,,0.5,0.0,0.5,26.0,0.412,50.0,0.95,100.0,,6.2,0.5,0.5
r1,Qwen 3.7 Max (Together),openai_compat,baseline,3,0.0,1.010119,,1010.12,786131,2663,291.8,2693.9,73,15.0,95.1,,,,,,,,,,,,,,,,,0.0,0.33,0.67,0.0,0,0,-0.11,0.0,,,,
r1,Qwen 3.7 Max (Together),openai_compat,optimized,10,98.4,0.030922,0.031424,30.92,16116,2178,77.7,207.4,4.0,4.8,94.4,,,,,,,,,,,,,,,,,1.0,0.0,0.0,92.0,1.0,100.0,0.98,100.0,,25.0,2.0,1.0
r1,Sonnet 4.6 (V1),anthropic,baseline,3,0.0,0.655131,,655.13,193072,0,198.9,970.7,30,16.4,35.5,,,,,,,,,,,,,,,,,0.0,0.33,0.67,0.0,0,0,0.08,0.0,,,,
r1,Sonnet 4.6 (V1),anthropic,optimized,10,81.8,0.162546,0.198711,162.55,35237,0,320.8,109.8,54.0,16.6,63.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.732,100.0,0.95,80.8,,1.9,52.5,0.0
r1,Sonnet 5,anthropic,baseline,3,0.0,0.106165,,106.16,51036,0,72.8,701.1,13,13.9,124.9,,,,,,,,,,,,,,,,,0.0,0.33,0.67,0.0,0,0,0.0,0.0,,,,
r1,Sonnet 5,anthropic,optimized,10,91.3,0.042135,0.04615,42.13,11877,0,31.7,374.3,2.0,0.7,116.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,100.0,,50.0,1.0,0.0
r2,DeepSeek V4 Flash (Together),openai_compat,baseline,5,0.0,0.060214,,60.21,356527,71230,613.8,580.8,35,0.0,123.6,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,0,,,
r2,DeepSeek V4 Flash (Together),openai_compat,optimized,8,100.0,0.003223,0.003223,3.22,19465,1978,35.5,549.0,4.0,25.0,43.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,DeepSeek V4 Pro (Together),openai_compat,baseline,5,0.0,2.709264,,2709.26,1955897,23421,710.5,2752.7,138,0.0,22.5,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,0,,,
r2,DeepSeek V4 Pro (Together),openai_compat,optimized,8,100.0,0.025576,0.025576,25.58,12795,1739,51.7,247.5,4.0,0.0,58.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Fable 5,anthropic,baseline,5,0.0,1.09704,,1097.04,113351,0,72.5,1563.9,16,0.0,90.3,,,,,,,,,,,,,,,,,0.0,0.8,0.2,0.0,0,0,,,0,,,
r2,Fable 5,anthropic,optimized,8,100.0,0.157115,0.157115,157.12,8839,0,33.5,263.7,2.0,0.0,2.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,GPT-5.4 mini,openai,baseline,5,0.0,0.061067,,61.07,243434,2496,114.1,2132.8,26,0.0,97.4,,,,,,,,,,,,,,,,,0.0,0.6,0.4,0.0,0,0,,,0,,,
r2,GPT-5.4 mini,openai,optimized,8,86.6,0.008966,0.010354,8.97,4677,247,18.4,254.6,2.0,26.7,42.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,96.6,0.977,100.0,0.79,,50.0,100.0,0.0,0.0
r2,GPT-5.5,openai,baseline,5,40.1,0.464711,1.15888,464.71,242542,689,193.4,1253.8,24,3.3,61.9,,,,,,,,,,,,,,,,,0.0,1.0,0.0,20.5,0.191,25.0,0.28,,100.0,,,
r2,GPT-5.5,openai,optimized,8,100.0,0.056773,0.056773,56.77,4552,156,27.5,165.5,2.0,0.6,3.5,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,GPT-5.6,openai,baseline,5,0.0,0.057942,,57.94,26282,236,35.5,739.7,13,0.0,31.2,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,0,,,
r2,GPT-5.6,openai,optimized,8,100.0,0.04171,0.04171,41.71,4607,242,22.4,205.3,2.0,0.6,4.6,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,GPT-5.6 Luna,openai,baseline,5,0.0,0.005355,,5.36,65735,468,48.5,1354.0,20,0.0,70.0,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,0,,,
r2,GPT-5.6 Luna,openai,optimized,8,99.7,0.002256,0.002263,2.26,4542,154,19.0,239.6,2.0,14.7,86.8,,,,,,,,,,,,,,,,,1.0,0.0,0.0,98.8,0.994,100.0,0.96,,100.0,100.0,0.0,0.0
r2,Gemini 3.1 Flash-Lite,google,baseline,5,0.0,0.402703,,402.7,922062,191178,437.1,2109.4,29,0.0,293.0,,,,,,,,,,,,,,,,,0.0,0.2,0.8,0.0,0,0,,,0,,,
r2,Gemini 3.1 Flash-Lite,google,optimized,8,100.0,0.005215,0.005215,5.22,11760,855,25.4,463.4,4.0,0.6,8.6,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Gemini 3.5 Flash,google,baseline,5,0.0,0.781397,,781.4,311280,66256,357.9,869.6,24,0.0,84.8,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,0,,,
r2,Gemini 3.5 Flash,google,optimized,8,100.0,0.043996,0.043996,44.0,8016,2745,23.8,336.8,2.0,0.0,9.4,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Gemini 3.7 Flash,google,baseline,5,0.0,0.174022,,174.02,559251,4675,109.1,5125.6,35,4.3,52.0,,,,,,,,,,,,,,,,,0.0,0.8,0.2,0.0,0,0.0,0.1,,0.0,,,
r2,Gemini 3.7 Flash,google,optimized,8,100.0,0.015578,0.015578,15.58,7073,1946,14.8,476.3,2.0,0.0,92.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Grok 4.3,xai,baseline,5,0.0,0.017609,,17.61,44520,848,34.0,1309.0,10,0.0,44.8,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,0,,,
r2,Grok 4.3,xai,optimized,8,100.0,0.006096,0.006096,6.1,6589,1181,23.6,278.9,2.0,100.0,179.8,,,,,,,,,,,,,,,,,0.62,0.0,0.38,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Grok 4.6,xai,baseline,5,0.0,0.07226,,72.26,62311,283,44.1,1412.3,19,0.0,114.6,,,,,,,,,,,,,,,,,0.0,0.4,0.6,0.0,0,0,,,0,,,
r2,Grok 4.6,xai,optimized,8,100.0,0.014439,0.014439,14.44,6661,208,28.1,236.8,2.0,0.0,60.9,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Haiku 4.5,anthropic,baseline,5,0.0,1.130188,,1130.19,1092244,0,217.5,5021.8,44,35.3,73.2,,,,,,,,,,,,,,,,,0.0,0.4,0.6,0.0,0,0,-0.05,,0,,,
r2,Haiku 4.5,anthropic,optimized,8,100.0,0.017038,0.017038,17.04,7995,0,26.4,303.1,2.0,100.0,21.4,,,,,,,,,,,,,,,,,0.88,0.0,0.12,100.0,1.0,100.0,0.93,,100.0,100.0,0.0,0.0
r2,Llama 3.3 70B (Together),openai_compat,baseline,5,0.0,0.001962,,1.96,1887,0,5.3,355.4,1,0.0,11.2,,,,,,,,,,,,,,,,,0.0,0.6,0.4,0.0,0,0,,,0,,,
r2,Llama 3.3 70B (Together),openai_compat,optimized,8,93.2,0.003679,0.003947,3.68,3537,0,12.1,291.7,1.0,0.7,0.9,,,,,,,,,,,,,,,,,1.0,0.0,0.0,76.2,0.865,100.0,0.41,,100.0,100.0,0.0,0.0
r2,Mistral Large (mistral.ai),openai_compat,baseline,5,0.0,0.027821,,27.82,48651,0,99.8,487.6,12,1.1,192.2,,,,,,,,,,,,,,,,,0.0,0.6,0.4,0.0,0,0,,,0,,,
r2,Mistral Large (mistral.ai),openai_compat,optimized,8,65.6,0.006289,0.009588,6.29,10256,0,36.3,282.9,4.0,96.7,29.5,,,,,,,,,,,,,,,,,0.75,0.25,0.0,25.0,0.312,100.0,0.94,,100.0,100.0,0.0,0.0
r2,Mistral Small (mistral.ai),openai_compat,baseline,5,0.0,0.003718,,3.72,35500,0,27.8,1279.3,8,26.1,49.4,,,,,,,,,,,,,,,,,0.0,0.2,0.8,0.0,0,0.0,,,0,,,
r2,Mistral Small (mistral.ai),openai_compat,optimized,8,100.0,0.00088,0.00088,0.88,5780,0,15.8,366.2,2.0,2.4,2.7,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.27,,100.0,100.0,0.0,0.0
r2,Opus 4.8,anthropic,baseline,5,56.4,1.070936,1.898823,1070.94,182917,0,236.4,773.8,20,28.4,130.9,,,,,,,,,,,,,,,,,0.2,0.8,0.0,47.7,0.447,34.8,0.14,,100.0,,,
r2,Opus 4.8,anthropic,optimized,8,100.0,0.144987,0.144987,144.99,17617,0,51.5,342.1,4.0,0.6,54.4,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Opus 5,anthropic,baseline,5,0.0,0.419967,,419.97,88326,0,55.6,1588.0,15,0.0,78.4,,,,,,,,,,,,,,,,,0.0,0.6,0.4,0.0,0,0,,,0,,,
r2,Opus 5,anthropic,optimized,8,100.0,0.075263,0.075263,75.26,8713,0,26.9,324.5,2.0,0.0,0.3,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Qwen 3.5 9B (Together),openai_compat,baseline,5,0.0,0.001406,,1.41,8020,0,14.1,568.8,4,0.0,96.3,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,0,,,
r2,Qwen 3.5 9B (Together),openai_compat,optimized,8,0.0,0.004813,,4.81,24761,0,105.6,234.6,4.0,100.0,132.8,,,,,,,,,,,,,,,,,0.38,0.0,0.62,0.0,0.0,0.0,0.98,,0.0,0.0,0.0,0.0
r2,Qwen 3.7 Max (Together),openai_compat,baseline,5,0.0,1.21459,,1214.59,937912,7887,468.8,2000.6,75,50.3,87.2,,,,,,,,,,,,,,,,,0.0,0.4,0.6,0.0,0,0,-0.04,,0,,,
r2,Qwen 3.7 Max (Together),openai_compat,optimized,8,100.0,0.020962,0.020962,20.96,8492,2195,59.3,143.1,2.0,0.0,84.7,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Sonnet 4.6 (V1),anthropic,baseline,5,42.7,0.695549,1.62892,695.55,213289,0,204.3,1043.7,25,61.4,41.4,,,,,,,,,,,,,,,,,0.2,0.4,0.4,25.0,0.218,27.3,-0.03,,100.0,,,
r2,Sonnet 4.6 (V1),anthropic,optimized,8,100.0,0.068631,0.068631,68.63,13082,0,50.8,257.8,4.0,10.8,219.8,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
r2,Sonnet 5,anthropic,baseline,5,39.9,0.627615,1.57297,627.62,296056,0,180.2,1642.8,25,51.2,139.8,,,,,,,,,,,,,,,,,0.0,0.6,0.4,20.5,0.188,22.2,0.31,,100.0,,,
r2,Sonnet 5,anthropic,optimized,8,100.0,0.06036,0.06036,60.36,17971,0,50.6,355.1,4.0,14.7,15.4,,,,,,,,,,,,,,,,,1.0,0.0,0.0,100.0,1.0,100.0,0.98,,100.0,100.0,0.0,0.0
